cpu,cpu_freq,date,gpu,gpu_freq,score,type_name
Intel Core i9-9900K Processor ,"3,600 MHz ",July 30 2019,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,115 MHz ",12298,Time Spy (1.0) by mohamad1991
Intel Core i9-9900K Processor ,"3,600 MHz ",September 28 2019,Colorful NVIDIA GeForce RTX 2080 ,"2,055 MHz ",12298,Time Spy (1.0) by a470653262
Intel Core i9-9900K Processor ,"3,600 MHz ",September 29 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,085 MHz ",12298,Time Spy (1.0) by ShoppingCart 2.0
Intel Core i9-9900KS Processor ,"4,007 MHz ",January 7 2020,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,070 MHz ",12298,Time Spy (1.0) by realdx
AMD Ryzen 7 3800X ,"3,893 MHz ",April 30 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,190 MHz ",12298,Time Spy (1.0) by LoNeRwolf22
Intel Core i9-9900K Processor ,"3,600 MHz ",February 8 2019,NVidia Corporation NVIDIA GeForce RTX 2080 ,"2,085 MHz ",12297,Time Spy (1.0) by delly
AMD Ryzen 9 3900X ,"3,800 MHz ",July 21 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,100 MHz ",12297,Time Spy (1.0) by Escorve
AMD Ryzen 9 3900X ,"3,800 MHz ",August 31 2019,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,085 MHz ",12297,Time Spy (1.0) by X8G7
Intel Core i9-9900K Processor ,"3,600 MHz ",January 2 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12297,Time Spy (1.0) by dc2man
AMD Ryzen 9 3900X ,"3,800 MHz ",February 16 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,070 MHz ",12297,Time Spy (1.0) by leitoo88
AMD Ryzen 7 3800X ,"4,500 MHz ",February 23 2020,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","2,130 MHz ",12297,Time Spy (1.0) by Austinaveous
AMD Ryzen 7 3800X ,"3,893 MHz ",April 9 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,175 MHz ",12297,Time Spy (1.0) by LoNeRwolf22
