benchmark,benchmark_version,cpu_clock_freq,cpu_cores,cpu_litho,cpu_make,cpu_score,cpu_sku,cpu_socket,cpu_test,cpu_tdp,date,gpu,gpu_avg_clock_freq,gpu_avg_memclock_freq,gpu_avg_temp,gpu_clock_freq,gpu_count,gpu_driver_status,gpu_driver_version,gpu_memclock_freq,gpu_score,gpu_vendor,gpu_vram,pr_gt,os,ram,ram_clock_freq,score,storage,user
Port Royal,1.2,5103,10,14,Intel,,Core i9-10850K Processor,FCLGA1200,,95,September 29 2020,NVIDIA GeForce RTX 3080,2110,1241,49,2160,1,Approved ,27.21.14.5655,1241,12369,NVidia Corporation,10240,57.26,64-bit Windows 10 (10.0.18362),32768,2666,12369,512 GB NVMe Samsung SSD 950 SCSI Disk Device,JNeidlinger
Port Royal,1.2,5103,8,14,Intel,,Core i9-9900K Processor,FCLGA1151,,95,September 27 2020,NVIDIA GeForce RTX 3080,2013,1325,52,2040,1,Approved ,27.21.14.5638,1325,12368,EVGA Corporation,10240,57.26,64-bit Windows 10 (10.0.19041),32768,3600,12368,512 GB NVMe Samsung SSD 960 SCSI Disk Device,Luckbad
Port Royal,1.2,5170,6,14,Intel,,Core i7-8700K Processor,LGA-1151,,95,September 29 2020,NVIDIA GeForce RTX 3080,2006,1319,55,2085,1,Approved ,27.21.14.5655,1319,12368,"Giga-Byte Technology Co., Ltd.",10240,57.26,64-bit Windows 10 (10.0.18363),32768,3240,12368,500 GB Samsung SSD 960 EVO 500GB,GunnarTheFox
Port Royal,1.2,4390,16,7,AMD,,Ryzen 9 3950X,AM4,,105,September 30 2020,NVIDIA GeForce RTX 3080,2098,1288,54,2160,1,Approved ,27.21.14.5655,1288,12366,NVidia Corporation,10240,57.25,64-bit Windows 10 (10.0.18363),32768,3324,12366,500 GB Samsung SSD 970 EVO Plus 500GB,technolosophy
Port Royal,1.2,5168,6,14,Intel,,Core i7-8700K Processor,LGA-1151,,95,September 29 2020,NVIDIA GeForce RTX 3080,2003,1322,54,2070,1,Approved ,27.21.14.5655,1322,12363,"Giga-Byte Technology Co., Ltd.",10240,57.24,64-bit Windows 10 (10.0.18363),32768,3242,12363,500 GB Samsung SSD 960 EVO 500GB,GunnarTheFox
Port Royal,1.2,5103,10,14,Intel,,Core i9-10850K Processor,FCLGA1200,,95,September 29 2020,NVIDIA GeForce RTX 3080,2086,1250,53,2145,1,Approved ,27.21.14.5655,1250,12363,NVidia Corporation,10240,57.24,64-bit Windows 10 (10.0.18362),32768,2666,12363,512 GB NVMe Samsung SSD 950 SCSI Disk Device,JNeidlinger
Port Royal,1.2,4902,8,14,Intel,,Core i7-9700K Processor,FCLGA1151,,95,September 30 2020,NVIDIA GeForce RTX 3080,2006,1319,66,2100,1,Approved ,27.21.14.5655,1319,12362,NVidia Corporation,10240,57.23,64-bit Windows 10 (10.0.19041),32768,3700,12362,500 GB Samsung SSD 860 EVO 500GB,machocamacho1234
Port Royal,1.2,4904,8,14,Intel,,Core i7-9700K Processor,FCLGA1151,,95,September 30 2020,NVIDIA GeForce RTX 3080,2014,1300,68,2130,1,Approved ,27.21.14.5655,1300,12361,NVidia Corporation,10240,57.23,64-bit Windows 10 (10.0.19041),32768,3696,12361,500 GB Samsung SSD 860 EVO 500GB,machocamacho1234
Port Royal,1.2,4904,8,14,Intel,,Core i7-9700K Processor,FCLGA1151,,95,September 30 2020,NVIDIA GeForce RTX 3080,1995,1319,67,2100,1,Approved ,27.21.14.5655,1319,12361,NVidia Corporation,10240,57.23,64-bit Windows 10 (10.0.19041),32768,3700,12361,500 GB Samsung SSD 860 EVO 500GB,machocamacho1234
Port Royal,1.2,4904,8,14,Intel,,Core i7-9700K Processor,FCLGA1151,,95,September 30 2020,NVIDIA GeForce RTX 3080,2000,1322,67,2130,1,Approved ,27.21.14.5655,1322,12361,NVidia Corporation,10240,57.23,64-bit Windows 10 (10.0.19041),32768,3700,12361,500 GB Samsung SSD 860 EVO 500GB,machocamacho1234
